Created;Modified;Active #;Filled #;Price;Algo label;Side;Instrument;Valid until;Venue;MIC;Factor;Order reference;Order identifier;Order reference (venue);Service
Wednesday, May 9, 2018 13:51:09.519;Wednesday, May 9, 2018 13:51:09.626;15;2;10;;Buy;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;100;;e1d9be9a-5376-11e8-b480-f667be8cb9fc;;mifid_idem-tr
Wednesday, May 9, 2018 13:51:29.511;Wednesday, May 9, 2018 13:51:29.513;1;0;12.7;;Sell;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;100;;edc44810-5376-11e8-b480-f667be8cb9fc;;mifid_idem-tr
