Created;Modified;Active #;Filled #;Price;Algo label;Side;Instrument;Valid until;Venue;MIC;Order reference;Order identifier;Order reference (venue);Service
Wednesday, May 9, 2018 14:50:33.840;Wednesday, May 9, 2018 14:50:33.905;0;0;10.00;;Buy;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;;2e59fa48-537f-11e8-b480-f667be8cb9fc;;mifid_idem-tr
Wednesday, May 9, 2018 14:50:34.042;Wednesday, May 9, 2018 14:50:34.119;0;0;10.00;;Buy;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;;2e78e35e-537f-11e8-b480-f667be8cb9fc;;mifid_idem-tr
Wednesday, May 9, 2018 14:50:34.153;Wednesday, May 9, 2018 14:50:34.194;0;0;10.00;;Buy;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;;2e89c458-537f-11e8-b480-f667be8cb9fc;;mifid_idem-tr
Wednesday, May 9, 2018 14:50:37.121;Wednesday, May 9, 2018 14:50:37.163;0;0;10.00;;Buy;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;;304eb2a8-537f-11e8-b480-f667be8cb9fc;;mifid_idem-tr
Wednesday, May 9, 2018 14:50:38.265;Wednesday, May 9, 2018 14:50:38.306;0;0;10.00;;Buy;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;;30fd3850-537f-11e8-b480-f667be8cb9fc;;mifid_idem-tr
Wednesday, May 9, 2018 14:50:39.417;Wednesday, May 9, 2018 14:50:39.459;0;0;10.00;;Buy;1AXA FCS Dec 19 - Dec 18;;Borsa Italiana IDEM;XDMI;;31ad0500-537f-11e8-b480-f667be8cb9fc;;mifid_idem-tr
Wednesday, May 9, 2018 14:02:41.080;Wednesday, May 9, 2018 14:02:41.110;0;0;3.00;;Buy;NOKSEK;;Internal;360T;;7e0db202-5378-11e8-bf10-649006596c45;;mifid_int_fix-tr
Wednesday, May 9, 2018 14:04:07.101;Wednesday, May 9, 2018 14:04:29.041;0;0;3.00;;Buy;NOKSEK;;Internal;360T;Draimrb23q34;b1535f36-5378-11e8-bf10-649006596c45;b1542aba-5378-11e8-b410-0efa0e03f8b3;mifid_int_fix-tr
Wednesday, May 9, 2018 14:04:29.042;Wednesday, May 9, 2018 14:08:48.532;0;0;1.00;;Sell;NOKSEK;;Internal;360T;Draimrb23q3d;be675f60-5378-11e8-bf10-649006596c45;be67d224-5378-11e8-b410-0efa0e03f8b3;mifid_int_fix-tr
Wednesday, May 9, 2018 14:08:49.593;Wednesday, May 9, 2018 15:47:20.887;0;0;7.00;;Sell;NOKSEK;;Internal;360T;Draimrb23q3m;59b43c54-5379-11e8-bf10-649006596c45;59b49b2c-5379-11e8-b410-0efa0e03f8b3;mifid_int_fix-tr
Wednesday, May 9, 2018 15:54:01.360;Wednesday, May 9, 2018 15:57:18.838;0;0;5.00;;Buy;NOKSEK;;Internal;360T;Draimrb23q3o;0bcf870a-5388-11e8-b480-f667be8cb9fc;0bd0a16c-5388-11e8-b410-0efa0e03f8b3;mifid_int_fix-tr
Wednesday, May 9, 2018 15:57:25.680;Wednesday, May 9, 2018 16:07:36.302;0;0;5.00;;Buy;NOKSEK;;Internal;360T;Draimrb23q3r;859848c4-5388-11e8-b480-f667be8cb9fc;859d8b2c-5388-11e8-b410-0efa0e03f8b3;mifid_int_fix-tr
Wednesday, May 9, 2018 16:03:49.566;Wednesday, May 9, 2018 16:07:36.302;0;0;6.00;;Sell;NOKSEK;;Internal;360T;Draimrb23q3s;6a68994a-5389-11e8-b480-f667be8cb9fc;6a692612-5389-11e8-b410-0efa0e03f8b3;mifid_int_fix-tr
Wednesday, May 9, 2018 16:07:04.527;Wednesday, May 9, 2018 16:07:04.532;0;0;15.00;;Sell;NOKSEK;;Internal;360T;;de9d4180-5389-11e8-bf10-649006596c45;;mifid_int_fix-tr
